,height,v,ori,s0,ball_d,g,unit,s_expect,start_x,scale,id,rt,s,points,name,sex,age,distance,date
0,0.5,2.0,right,0,0.05715,9.8,m,0.6388765649999398,2.0,800.0,0,7.243972299998859,0.47,0.8311234350000601,pxf,male,23,50,20/10/17
1,1.0,1.5,left,0,0.05715,9.8,m,0.6776309271789384,1.7,800.0,1,2.738047999999253,-0.44125,0.7636190728210617,pxf,male,23,50,20/10/17
2,0.5,2.0,left,0,0.05715,9.8,m,0.6388765649999398,2.0,800.0,2,1.9285444999986794,-0.5175,0.8786234350000601,pxf,male,23,50,20/10/17
3,1.0,2.0,left,0,0.05715,9.8,m,0.9035079029052512,1.7,800.0,3,3.145297600014601,-1.155,0.7485079029052512,pxf,male,23,50,20/10/17
4,1.0,2.0,right,0,0.05715,9.8,m,0.9035079029052512,1.7,800.0,4,2.168262399995001,0.9925,0.9110079029052511,pxf,male,23,50,20/10/17
5,0.5,1.5,right,1,0.05715,9.8,m,0.47915742374995485,2.0,800.0,5,2.649271800008137,0.3325,0.8533425762500452,pxf,male,23,50,20/10/17
6,0.5,1.5,left,1,0.05715,9.8,m,0.47915742374995485,2.0,800.0,6,2.170017700002063,-0.9175,0.5616574237499549,pxf,male,23,50,20/10/17
7,1.0,1.5,right,1,0.05715,9.8,m,0.6776309271789384,1.7,800.0,7,2.8207181000034325,0.955,0.7226309271789384,pxf,male,23,50,20/10/17
