,height,v,ori,s0,ball_d,g,unit,s_expect,start_x,scale,id,rt,s,points,name,sex,age,distance,date
0,1.0,1.5,left,0,0.05715,9.8,m,0.6776309271789384,1.7,800.0,0,14.50937949999934,-1.3725,0.3051309271789383,tty,male,21,50,20/10/18
1,0.5,1.5,right,0,0.05715,9.8,m,0.47915742374995485,2.0,800.0,1,4.1750841999892145,0.68875,0.7904074237499549,tty,male,21,50,20/10/18
2,0.5,2.0,left,1,0.05715,9.8,m,0.6388765649999398,2.0,800.0,2,2.2053135000169277,-0.7025,0.9363765649999398,tty,male,21,50,20/10/18
3,1.0,2.0,right,1,0.05715,9.8,m,0.9035079029052512,1.7,800.0,3,3.489108799985843,1.64,0.2635079029052513,tty,male,21,50,20/10/18
4,0.5,2.0,right,1,0.05715,9.8,m,0.6388765649999398,2.0,800.0,4,2.3713423000008333,0.80875,0.8301265649999399,tty,male,21,50,20/10/18
5,1.0,2.0,left,0,0.05715,9.8,m,0.9035079029052512,1.7,800.0,5,3.8908608999918215,-0.98375,0.9197579029052512,tty,male,21,50,20/10/18
6,0.5,1.5,left,0,0.05715,9.8,m,0.47915742374995485,2.0,800.0,6,4.095532399980584,-0.6525,0.8266574237499549,tty,male,21,50,20/10/18
7,1.0,1.5,right,0,0.05715,9.8,m,0.6776309271789384,1.7,800.0,7,7.7807936999888625,1.11125,0.5663809271789383,tty,male,21,50,20/10/18
